"year","month","observations","weighted","povRate","povSE","povCIH","povCIL"
"1",2003,10,27399,71374729.8549,0.157241508804527,0.00484673296233823,0.165213675096494,0.14926934251256
"2",2003,11,54855,141962198.31,0.15015786787868,0.00298705456564129,0.155071135414877,0.145244600342483
"3",2003,12,83134,212537148.8242,0.146371694284994,0.00253689057424987,0.150544507947228,0.14219888062276
"4",2004,1,110467,283665538.4794,0.149030591445178,0.00219466307665298,0.152640490966748,0.145420691923609
"5",2004,2,108564,283718432.8794,0.144746779797901,0.00204112027566349,0.14810412388637,0.141389435709431
"6",2004,3,106611,284411632.034,0.137735648251605,0.00250914528175294,0.141862824968845,0.133608471534366
"7",2004,4,104867,285530043.2568,0.137355011118488,0.00245751866245016,0.14139726960372,0.133312752633255
"8",2004,5,103189,285270137.979,0.135931161475635,0.00232560949159484,0.139756448682757,0.132105874268512
"9",2004,6,102845,286244646.276,0.134405144529076,0.00241237667830269,0.138373151057955,0.130437138000197
"10",2004,7,102033,286364188.6077,0.13858241296144,0.00233347837079241,0.142420643323051,0.134744182599829
"11",2004,8,100754,286073220.2375,0.136494128675458,0.00235560312844723,0.140368751024943,0.132619506325973
"12",2004,9,99738,286678309.9547,0.132860309733299,0.00235573807355621,0.136735154047735,0.128985465418862
"13",2004,10,98881,286536165.3647,0.134873641956545,0.00236613643317479,0.138765590050515,0.130981693862576
"14",2004,11,98442,286911019.7052,0.137171715504822,0.00246935766593454,0.141233447417875,0.133109983591769
"15",2004,12,98271,286926732.8368,0.137395583821822,0.00245174673860548,0.141428348337183,0.13336281930646
"16",2005,1,97952,288042566.7239,0.140140457602896,0.00247408225046047,0.144209960765942,0.13607095443985
"17",2005,2,97694,288412108.6971,0.140381542936609,0.00239429804774089,0.144319812764439,0.13644327310878
"18",2005,3,96997,288388739.2271,0.136511702281476,0.00215369970343831,0.14005422305004,0.132969181512911
"19",2005,4,96517,289077755.2953,0.1394147533771,0.00227939877903875,0.143164030726071,0.13566547602813
"20",2005,5,95639,288215314.9672,0.136882469583512,0.00234902608046028,0.14074627365176,0.133018665515263
"21",2005,6,95120,288807513.0216,0.133923663327994,0.00227610852792419,0.137667528695485,0.130179797960503
"22",2005,7,94790,288467299.9845,0.139834970763644,0.00233598475560268,0.143677323761401,0.135992617765888
"23",2005,8,94313,288961890.5153,0.134629232918312,0.00209576204621251,0.138076454721252,0.131182011115372
"24",2005,9,94488,289342991.6705,0.139810440775312,0.00235271579547194,0.14368031388468,0.135940567665944
"25",2005,10,94170,289765285.7468,0.138254003367767,0.00227589186367554,0.141997512354283,0.134510494381251
"26",2005,11,93883,290750933.8224,0.135773881453167,0.00233119262574498,0.139608352098746,0.131939410807587
"27",2005,12,93389,290913031.3782,0.138805846622263,0.00230495810078891,0.142597165314317,0.135014527930209
"28",2006,1,92808,291289398.0873,0.13923174720058,0.00238666324507466,0.143157458895553,0.135306035505607
"29",2006,2,92684,291238409.342,0.13789870243227,0.0024006673795114,0.141847448878563,0.133949955985976
"30",2006,3,92635,291112275.881,0.13281431580819,0.00236307385252284,0.136701226405266,0.128927405211113
"31",2006,4,92428,291127750.8811,0.137818111502488,0.00253921563246607,0.141994749545162,0.133641473459814
"32",2006,5,91669,291733918.5643,0.133906118053221,0.00244455256927694,0.13792704921307,0.129885186893373
"33",2006,6,79377,292714684.4984,0.139412071070603,0.00285786952229124,0.144112848119698,0.134711294021508
"34",2006,7,67172,293164210.4203,0.141495252778399,0.00321090880358073,0.146776727769779,0.136213777787018
"35",2006,8,54486,293654765.5963,0.136544327887132,0.00359684395207911,0.142460609707288,0.130628046066976
"36",2006,9,42764,294858381.6889,0.135591433224654,0.0037786882006159,0.141806822216556,0.129376044232752
"37",2006,10,42573,294037644.2753,0.134725162996171,0.0037836816672863,0.140948765509837,0.128501560482506
"38",2006,11,42279,293560647.681,0.132143265921847,0.0036623014891527,0.13816721580927,0.126119316034424
"39",2006,12,42068,293375188.5299,0.138590408858165,0.00377878795851151,0.144805961937203,0.132374855779127
"40",2007,1,41754,294963606.2232,0.138269880821969,0.00403553105716568,0.144907738718023,0.131632022925915
"41",2007,2,41514,296257287.8532,0.138516376824236,0.00400474087989491,0.145103589385532,0.13192916426294
"42",2007,3,41355,296779354.257,0.137303724312349,0.0038576609298745,0.143649011884402,0.130958436740296
"43",2007,4,40988,296691193.2589,0.138576622077968,0.0040425302347147,0.1452259925966,0.131927251559337
"44",2007,5,40645,296936415.2639,0.134224967395387,0.00395036307721426,0.140722736430718,0.127727198360056
"45",2007,6,40620,297315575.9466,0.140969376421866,0.00436192100999833,0.148144098015637,0.133794654828094
"46",2007,7,40623,297849066.92,0.143453865979632,0.00437678825173457,0.150653042009896,0.136254689949367
"47",2007,8,40685,299480266.6,0.137592475935107,0.0041672157546938,0.144446935883505,0.13073801598671
"48",2007,9,40908,299580780.305,0.137968364758312,0.00410194282606352,0.14471546029331,0.131221269223314
"49",2007,10,30849,224073335.8065,0.131152616345115,0.00459713956458458,0.138714238031524,0.123590994658706
"50",2007,11,20637,149670635.6042,0.134629136958342,0.00606022374000764,0.144597317957231,0.124660955959453
"51",2007,12,10117,74293343.87,0.132567147263337,0.00773531248250778,0.145290604055793,0.119843690470881
"52",2008,5,26361,73100310.0573,0.167053176193478,0.00369302623953744,0.173127663798008,0.160978688588948
"53",2008,6,53187,146027665.047,0.167300440575674,0.00307740682069646,0.172362324346301,0.162238556805046
"54",2008,7,79385,219142853.0599,0.164299207978088,0.00280755399958918,0.168917223357174,0.159681192599001
"55",2008,8,105476,293047369.2416,0.165169551405852,0.00231651683589905,0.168979882525274,0.161359220286429
"56",2008,9,103255,294003081.2657,0.160464470095688,0.00236696320496128,0.164357778108229,0.156571162083147
"57",2008,10,101244,295548480.8245,0.153327563931242,0.00227400332615642,0.15706796654997,0.149587161312514
"58",2008,11,99667,295193511.5865,0.153336905043512,0.00234898713428815,0.157200645051008,0.149473165036016
"59",2008,12,98169,294560710.1537,0.152121062400749,0.00220633613863849,0.155750162400663,0.148491962400836
"60",2009,1,97630,293661070.5591,0.155991341237656,0.00216578449743629,0.15955373972346,0.152428942751853
"61",2009,2,97045,293385975.8689,0.158243286930476,0.00225444538196023,0.161951519593757,0.154535054267195
"62",2009,3,96010,295041374.7156,0.158474885062037,0.00244013984627337,0.162488557938448,0.154461212185625
"63",2009,4,94996,295713539.9379,0.157322461380597,0.00241181253161463,0.161289539970751,0.153355382790444
"64",2009,5,94169,296611108.7284,0.159955506684154,0.00251835290188276,0.16409782858876,0.155813184779549
"65",2009,6,93084,296374450.1808,0.163614271389179,0.00265650537549133,0.167983833891072,0.159244708887286
"66",2009,7,91972,295852145.1466,0.161998587220488,0.00244788961475576,0.166025007331696,0.15797216710928
"67",2009,8,91089,295060763.6848,0.16316710526524,0.00288704139895192,0.167915865781466,0.158418344749015
"68",2009,9,90541,295529822.0855,0.160494868280933,0.00273275148931429,0.164989844479689,0.155999892082178
"69",2009,10,90145,296654696.9184,0.164025972834283,0.00280842292799366,0.168645417473407,0.159406528195159
"70",2009,11,90351,296481408.1426,0.166242584192307,0.00268952032307696,0.17066645145048,0.161818716934134
"71",2009,12,90393,296769181.763,0.166849630901848,0.002850992650471,0.171539096503387,0.162160165300309
"72",2010,1,90034,295430297.2052,0.169268420208663,0.00289327333826721,0.174027431352874,0.164509409064452
"73",2010,2,89745,295408218.6229,0.168427017454155,0.00290746179571328,0.173209366534057,0.163644668374253
"74",2010,3,88911,295366220.5462,0.167200237726492,0.00296502770911729,0.172077274307845,0.162323201145138
"75",2010,4,88087,294987266.9664,0.167651636938055,0.00293112619451488,0.172472910490155,0.162830363385955
"76",2010,5,87622,294819201.3637,0.166154662044788,0.00291506913118282,0.170949524078029,0.161359800011548
"77",2010,6,86960,295486959.7029,0.161332798630884,0.00286565362848738,0.166046379395288,0.15661921786648
"78",2010,7,86291,294550909.2396,0.164660380739302,0.00266476470097109,0.169043528622666,0.160277232855937
"79",2010,8,85376,294714863.8996,0.162095252636712,0.00260986319448754,0.166388095578012,0.157802409695412
"80",2010,9,84966,296562653.7508,0.160393365672301,0.00271334515769382,0.164856421296105,0.155930310048497
"81",2010,10,84422,297282518.6879,0.164649627633124,0.00314631740533588,0.169824859228831,0.159474396037417
"82",2010,11,84411,297441953.186,0.166918507333608,0.00306720611064251,0.171963612429306,0.16187340223791
"83",2010,12,84410,298235318.1661,0.167355176487522,0.00284247951180021,0.172030639222042,0.162679713753002
"84",2011,1,84399,297341557.5025,0.172424103145652,0.00267612025161258,0.176825929247676,0.168022277043629
"85",2011,2,84169,297822370.2616,0.173567758361451,0.00277036977628893,0.178124611135977,0.169010905586925
"86",2011,3,83104,297753722.0682,0.173590029498141,0.00300540691639997,0.178533483965046,0.168646575031235
"87",2011,4,82214,297332013.5888,0.175027241752283,0.00324278465579753,0.180361147854794,0.169693335649772
"88",2011,5,81355,296740870.2171,0.172280714897472,0.00311539958581039,0.177405091205595,0.167156338589349
"89",2011,6,80776,297272005.0504,0.167434787220415,0.00322969620357985,0.172747164734825,0.162122409706006
"90",2011,7,80345,297785792.5657,0.168933629319475,0.00301007619566526,0.173884764067315,0.163982494571635
"91",2011,8,79416,298125001.393,0.166484227900671,0.00299919863354568,0.171417470651006,0.161550985150335
"92",2011,9,78997,297885657.893,0.166603495902198,0.00316755764136711,0.171813664577179,0.161393327227217
"93",2011,10,78535,297999482.7985,0.166452795224951,0.00322227333786195,0.171752963211762,0.16115262723814
"94",2011,11,78186,298251923.2465,0.162074284077118,0.00322092598999938,0.167372235873911,0.156776332280325
"95",2011,12,78180,298761649.1392,0.166266787695885,0.0032071462213291,0.171542073790202,0.160991501601569
"96",2012,1,58542,227736624.1734,0.170000153018084,0.00349960896954001,0.175756497524544,0.164243808511625
"97",2012,2,38705,151986347.3007,0.170390146953553,0.00441180109196363,0.177646913981058,0.163133379926048
"98",2012,3,19373,76252073.4679,0.171212537464911,0.00580615713664638,0.180762816089774,0.161662258840048
